title,content
Amanda explained everything all of my…,Amanda explained everything all of my questions were answered.
Denise,"Denise, our agent, was great, explained everything and was very patient."
Impressive Service,The agents seemed very knowledgeable and answered all my questions to my satisfaction. The price quoted was about 1/2 of that quoted by my travel agent.
Hello and wow I spoke with Stacy using…,Hello and wow I spoke with Stacy using my TTY relay because I’m hard of hearing and she did answered all my questions nice and easy very polite and cheerful representative 💕
Our Aardy agent’s was named Janet,"Our Aardy agent’s was named Janet. She answered ALL my questions, and there were many. She was very knowledgeable, kind and patient!! Such a wonderful employee is what makes Aardy so special and gives them repeat business!"
Fast and great customer service.,
Your agent was fine,"Your agent was fine. Your documentation of what we purchased is frustrating. The Declarations page should declare everything clearly, especially the supplemental health insurance which is what I wanted."
Very helpful!,Very helpful and I feel better knowing I am covered if something unexpected happens.
Easy and cost effective,Ease of purchase and great home page to explain coverages.
Great Experience!,"Very pleasant agent. Helped compare plans, found one that seems to be exactly what we need at a reasonable cost. Agent was able to answer every concern with a great deal of knowledge, kindness and professionalism.
5 stars!!"
Agent was very knowledgeable,"Agent was very knowledgeable, very pleasant and understood the information we were requesting. She explained added information that we might need when traveling and explain the emails that she was sending to us and what we needed to do to help facilitate our insurance."
The agents were always available and…,The agents were always available and spent extra time going over areas that were particularly relevant to my trip.
I worked with Amanda and she answered…,I worked with Amanda and she answered all of my questions. Quite pleasant and appears to be very knowledgeable of your products. I look forward to talking to her in the near future.
A very helpful associate,"Your associate, Maranda, did a great job explaining the policy I was interested in and she was very pleasant as well."
Easy to aquir.,
Christiana assisted me on chat and was…,"Christiana assisted me on chat and was very helpful. When I wanted more assurance for my issue she referred me to Sylvia who called me on my phone.
Sylvia was very courteous and knowledgeable. She went with me patiently over all my questions and details and was very helpful. Thank you!"
Viking River Cruise,Our Big Trip - My wife and I are traveling to Europe for a river cruise. Your website provided a detailed overview and then Joe did an excellent job helping us apply for the best policy!
Efficient…,"They furnished me with a list of choices , showing coverages. This was done swiftly and I was very impressed"
George and Nicole were very helpful and…,George and Nicole were very helpful and knowledgeable.
Great experience. Very knowledgeable staff.,This is our first time buying travel insurance. We will be embarking on a three month Asia cruise later this year. Both Kayla and Miranda were wonderful and answered all of our questions. Thank you.
Excellent travel site,"Thoroughness, responsiveness and communication ease."
Amanda’s the person that helped me,Amanda’s the person that helped me. She answered all of my questions and was so very polite.
Easy to deal with,Someone always available to answer questions in a polite and helpful manner.
Insurance you hope you never need to use,"they explained and walked me through printing all the documents we will need.Very patient,very helpful"
I was very impressed with the fast,"I was very impressed with the fast, efficient and professional service. Both agents that I spoke with were friendly, personable, helpful and respectful. I would definitely recommend AArdy to others. Thank you Janet and Stacey."
Joe was very helpful,"Joe was very helpful, courteous. Answered all questions. Gave me some advice that helped me save some money."
Janet was super helpful and so nice!,
George did an excellent job explaining…,"George did an excellent job explaining the policies and helping me make a decision.he is very knowledgeable,friendly and professional. all in all a job well done."
Patient with two elderly people.,
easy website to navigate,
Great Customer Service,Melanie was extremely helpful and patient with explaining all aspects of the travel insurance policy.
Clear cut information,
Great agent (Roy) who was immediately…,"Great agent (Roy) who was immediately responsive, clear with his answers to my questions, and quick with follow-up. He's going into my address book for future travel insurance needs."
Sarah was extremely professional,"Sarah was extremely professional, listened carefully to my situation, reviewed all information I provided for correctness, provided me with a clearly outlined quote. It was also a pleasure just to speak with her. Give that girl a raise! Thank you Sarah - Regards, Nancy"
My customer service representative was…Excellent!,My customer service representative was extremely knowledgable and patient. She careful explained my options and worked with my on the phone during the process.
Ample time and thouroghness,Rep was very good helping me understand. Didn’t rush me.
Best Customer Service,"After Googling travelers insurance websites, talking to friends, and a travel agent I was feeling completely overwhelmed with information and the cost of insurance. I called AARDY and Sylvia was extremely helpful, competent and kind. She answered all of my questions and shared information that I didn't even know to ask. She helped me understand what policy I needed and more importantly, what coverage I didn't need. The process was simple and the coverage is robust. I know what to do if I need to file a claim but I hope I won't need to!"
Depeneds who you speak with,"I first called to ask about a specific coverage. I spoke with George, he tried to be helpful, but didn't really understand my question, and when I tried to ask it again, he lost patience with me. However, I called again and spoke with MELANIE. She was awesome - she gets 5 stars. She called the insurance company to make sure the question I had was covered."
Easy to get insurance,
HELPFUL AND POLITE!,I spoke with two of your representatives. Both were not only polite but very informative. I reviewed the info they provided and that resulted in my purchasing Travel Insurance appropriate for my needs.
Good Plans,Easy to use website ... easy to compare the coverage of various plans ... fair price.
Don listened carefully to my…,Don Vallia listened carefully to my explanation of our transatlantic cruise trip followed by another 10 days travel upon arriving back in the US. We also had other insurance but lacked some coverage of important items. He did a perfect job to produce an affordable solution. We will call him next travel.
effective communication,effective communication. clarity friendly and knowledgeable
I was referred to AARDY by a friend,I was referred to AARDY by a friend. after getting my online quotes for travel insurance I called AARDY to get additional details. The agent took the time to explain the content of the travel insurance I was looking at. It is very hard to know what insurance to select but this was a good experience.
Working with an agent.,I felt very comfortable with my agent. She was very knowledgeable and could explain in understandable terms.
Sylvia H was great to work with,Sylvia H was great to work with. She explained the different options very clearly as insurance can be quite overwhelming to understand. She emailed me the different options with comparisons so I could make a decision that is best for us. She had tons of patience and did not push me to purchase insurance right away. I gave my friend her contact information.
Sylvia was extremely knowledgeable and…,Sylvia was extremely knowledgeable and helpful in recommending travel insurance
Our birthdates were completely…,Our birthdates were completely different than what I entered so I now have to modify the policy and hope it can be done before we leave for our trip
Sylvia was FANTASTIC,"Sylvia was FANTASTIC! She was very pleasant,knowledgable,helpful,patient and VERY friendly.Great pleasure dealing with her. Aardys is a very nice professional company to deal with.Thank you!"
Great agent,Christiana the agent was very patient and thorough in explaining the policy to me. I asked about a couple scenarios and if the policy would apply and she knew the answers and explained it well.
My insurance agent Felicia answered all…,My insurance agent Felicia answered all my questions. She was very knowledgeable and professional.
Felicia was wonderful and patient,Felicia was wonderful and patient. Took her time with me to explain all the benefits. Really appreciate her.
Roy was very helpful and clear,
Excellent customer service with advice…,"Excellent customer service with advice on my specific benefit concerns. They found the best policy for me at the lowest cost. There was no manipulation to consider other policies that might profit them but not me. I appreciate Felicia, Don and Roy in guiding me to my final purchase."
Great service,George was very friendly and knowledgable. He answered all of our questions without hesitation. His voice was also very calming!
Felicia is a pro,
Agent was pleasant,"Agent was pleasant, knowledgeable and very helpful since I did not know what questions to ask. Information was freely given and she was not rushed. Did not mind that I was ignorant about this subject and treated me with respect and kindness. Give her a raise!"
Great customer service,"Felicia Maranda and George were all extremely helpful. Explained everything and helped us make the right choice for our trip. Our first time purchasing travel insurance, they made the process easy. Would highly recommend them"
George and Andrea were very helpful.,
Felicia made it easy for us to get our…,Felicia made it easy for us to get our travel insurance. She was knowledgeable and pleasant to talk to.
Excellent Experience,"Stacy was professional, knowledgeable, personable. Overall, excellent experience."
It was within my price range,
Excellent Advice from Luis Vianna,"It can be quite overwhelming to select travel insurance.
There are so many choices and many seem okay. I was lucky to receive truly excellent advice from Luis Vianna.
He carefully explained several policies to me and I feel good about the insurance coverage we will receive for our upcoming cruise vacation."
First time at your website,First time at your website. Found the experience to be stress free. Choices were offered in clear and easy to understand language. Prices were easy to find and the comparison option was great.
She was knowledgable and discussed what…,She was knowledgable and discussed what is covered.
Excellent customer service from Don!,Don was very thorough in explaining the plan and the coverage. He was very patient in answering all the questions I had. I will definitely reach out to Don for future inquiries.
Good communication between the agent…,Good communication between the agent and me. Clarity of information.
Amanda is 5-Star plus!,"Amanda was so pleasant, helpful and thorough in helping us purchase travel insurance for our upcoming Mexico trip.
I highly recommend her and will definitely use Aardy.com for our future travel insurance needs"
First Time Experience. Fantastic,Excellent conversation with the on line chat. Answered all my questions.
Travel Insurance Purchase. Making sure I have what I need.,I talked to Katrina online and she answered all my questions and she switched me over to Stacie to purchase my plan. Stacie also answered a lot of my questions which made me feel that I purchased the right plan.
Painless down to how to download the…,Painless down to how to download the necessary documents.
Travel insurance for novice traveler,Easy site to use. Love the option to receive quote within minutes.
The representative,"The representative, Stacey, is very knowledgeable and patient. She answered all my questions and concerns before I purchased the policy."
Nice features and fairly easy to use,"I liked the comparison of each company product as well as highlighting the best option for my particular needs. One thing that was not clear was how to use the ""compare plan"" buttons to compare selected plans, side by side. I was expecting to see a compare selected plans choice, but it was not visible on the page. However, the first policy listed was the best for our needs. The best thing is the
co-branding with AARP."
It was quick and easy to buy the policy.,
Andrea handled my questions very well,Andrea handled my questions very well. Good level of personal service.
Good service,"Understanding insurance is not always easy. After looking at policies online, I still was unsure if I would be covered if my flight was canceled. Janet, the customer service rep who answered my call, was great. She responded to my questions about flight delays and cancellations, and she made sure I had a policy that would meet my specific needs. Speaking with her put me at ease about my concerns. I will be a return customer."
the person that I chatted with was…excellent,the person that I chatted with was knowledgable and offered alternatives and options. Very helpful. Pleasant experience with both of the representatives that I talked to. Sarah and Nicole were the representatives
Agent personable,Agent personable; empathitic; efficient; complete; & quick.
Travel Insurance,Andrea helped me quickly identify the best travel insurance for my monthlong trip to Mexico. Thank you!!
Everyone I spoke with were…helpful and knowledgeable.,Everyone I spoke with were knowledgeable and easy to talk to. They went out of there way to explain the policy and how to update it as we got everything finalized. Highly recommended.
I spoke on chat with an agent who was…helpful and pleasant,"I spoke on chat with an agent who was helpful and extremely pleasant. This is the cheapest coverage we found. Apparently, some industries do not cover travelers over 70 years. That's sad, since that's when most people finally get to travel. My daughter got insurance for $86 when she went to London. Ours is $800 and yet it was the cheapest we found. Thanks for the comparisons and recommendations. Saved a lot of time."
Super easy,The website was super easy and straight forward. I was able to easily find a company that insures people 80+
Roy F,"Roy F. was great - he explained the policy clearly and without pressure.
I very much appreciated his help in processing my travel insurance .
Leith Bernard"
so far so good,so far so good. All information available on website was helpful
Sylvia was very kind,"Sylvia was very kind, patient and professional with guiding me through the process of purchasing travel insurance."
Cheerful and helpful,The site is well layed out and clear. The person I called was cheerful and helpful
Roy was wonderful,"Roy was wonderful! He was polite, clear, friendly, helpful, thorough and a pleasure to speak with. He explained my options and coverage, answered all my questions, and made sure I was all set with my needs. Thank you so much.. nice and easy!"
It was easy for my daughter to navigate…,It was easy for my daughter to navigate and compare.
Janet was very helpful,"Janet was very, very helpful!!!"
System was easy to operate,System was easy to operate. Provided the necessary information for me to make a decision to purchase a policy.
Excellent Customer Service!,"Roy was extremely helpful! He was thorough with his explanation of the options, and very patient when I didn’t grasp some part of coverage. His customer service skills are excellent!"
Very clear and helpful,"Denise was great to work with. Very clear, helpful and we received several quotes from different companies within minutes. Denise answered all questions clearly. We purchased policy and feel very comfortable."
The conversation went very smoothly and…,The conversation went very smoothly and easily understandable.
A pleasant sales experience for a change.,"My representative Melanie was very professional, yet personable. I was quit impressed with how well she managed to balance out my sales experience without going overboard. That takes skills. Melanie was knowledgeable, patience as she listened carefully to address my concerns and many questions. She was timely and responsive in returning my calls."
Melanie was great,Melanie was great. She answered all my questions and made some great suggestions. I would use her again if I needed travel insurance.
George was a perfect agent,"George was a perfect agent. He was friendly, patient and very knowledgable . I was a pleasure to deal with him. Excellent presentation of AARDY."
Found Sylvia to be very knowledgeable…,Found Sylvia to be very knowledgeable and helpful Like being able to pay the premium over time
Easy,"Easy, plans were easy to compare. Seamless. I will come back again!"
Kudos to your very professional agents!…,"Both Maranda and Janet were very helpful and professional, answering all our questions thoroughly. We are happy to have found your company!"
Always quick thanks Sylvia,
Denise the agent was helpful,"The agent was helpful, informative and knew the product. I was able to purchase what I needed and save some money on the trip."
Maranda was excellent,"Maranda was excellent, explained and covered policy effectively and was very patient. I never felt that she was in a hurry at all, would highly recommend her to any of my friends."
Excellent service,Amanda was extremely helpful and patient with me.
George was very patient with me,George was very patient with me. I am a very busy person and there were three times during our phone calls that I had to end our conversations abruptly. George was also very thorough explaining the travel policy with me.
Miranda was great and answered all my…,Miranda was great and answered all my questions. Great service!
Site was easy to navigate and it was…,Site was easy to navigate and it was easy to compare plans!
Roy F gave incredible customer service,"Roy F gave incredible customer service, answered all of my questions, and made me feel confident and comfortable with my choice. Thank you Roy!"
Amanda was patient with my questions…,Amanda was patient with my questions and helped me understand several of the terms I had questions about.
It was fast and easy,
Very helpful and knew what she was…,Very helpful and knew what she was doing. Explained things to me
Contacted on line with chat with Felicia then spoke with Maranda. Great service !!!,Contacted on line with chat and Felicia was very efficient and polite. She assisted me in getting the information I needed to be able to talk to someone who could explain anything I needed explained. That person was Maranda who was also efficient and polite and explained exactly what I needed to know then proceeded to take all my information and sent me all the paperwork I needed. A very professional organized group of people I spoke to and found through the website. Thank you all
Don and the individual on Chat were…,Don and the individual on Chat were very helpful and informative. I actually purchased insurance for two separate trips through AARDY
Great Help,Very efficient and helpful in all regards. Shows she cares that the client receive great attention.
Convenient,"Convenient, easy and affordable"
Very easy to navigate and understand,Very easy to navigate and understand. The process was quick through the whole purchase. Pricing was very competitive and inline with my expectations.
Miranda was very helpful in helping…,Miranda was very helpful in helping chose a plan with our needs. She was prompt in calling me back at a time we agreed on to finalize the plan. She was not rushed and spent time explaining different plans to me. Five stars for Miranda!
People make the company.,"I was immediately given the option to call or chat. I called and there was no hold time. Melanie was very knowledgeable, patience, and courteous. She answered all my questions and explained the different options available."
Superb service,Superb service! Thanks.
Very patient and helpful over multiple…,Very patient and helpful over multiple communications.
Efficient AND friendly!,"Efficient, friendly representative! The phone representative I spoke with made this a great experience!"
Amanda is great,Amanda was a very patient person client manager. I had several questions and she was more than willing to walk me through the answers.
Our first time purchasing travel…,"Our first time purchasing travel insurance from AARDY. It was an easy, comfortable experience with Amanda. She was polite, and professional, and lead us through the process with no complications. We will use AARDY again for our cruises or foreign trips."
My experience with two individuals,"My experience was with two individuals. Both times they resulted from additional questions that I had about how much insurance I should need based on feedback/discussions with the agents. Very, very helpful. I wished that I had done this 5 years ago when my wife and I went on a extended trip."
Pick a travel insurance co. who do not have elderly people as ourselves to take care of the insurance on our own. ALWAYS had policy sent directly to us. Would not recommend this company.,"Difficult for elderly to navigate. Will not use this company in future travels. Having said that, the Operator who worked with me was top-notch."
Super easy,The ease of selecting travel insurance as well as the chat option to have a couple of questions answered made this a very simple process.
Purchased insurance online,Purchased insurance online. Site easy to navigate and price was competitive.
My request was quick and easy,My request was quick and easy. The price was great. I see why you have such a high rating.
Outstanding customer service,"Outstanding customer service. Friendly, knowledgeable and NO pressure staff. I was on the phone with a live expert who spoke clearly and took the time to help me choose a policy that would meet my needs while explaining the complicated exclusions and waivers. I will be purchasing my travel policies from AARDY from now on."
Kayla was very knowledgeable and…,Kayla was very knowledgeable and personable …
Sylvia was wonderful,"Sylvia was wonderful. She did a great job explaining and asking if I had any further questions. Most importantly, her voice was clear and easy to understand."
Several plans were offered,"Several plans were offered, and the website allowed for comparison of plans and price, as well as access to the policy."
Listening to our needs.,
So Easy to Use!,Such an easy way to purchase travel insurance. Roy was a pleasure to work with and a great asset to the company
Stacey explained everything I needed to…,Stacey explained everything I needed to know in great detail.
Exceptional customer service,
I had a wonderful experience purchasing…,"I had a wonderful experience purchasing travel insurance with Andrea. She was pleasant, friendly, and helpful. I was overwhelmed with so many options and decisions and she patiently answered all of my questions. In the end, I was very happy with my purchase. It was the best customer service experience I have had in a very long time. I have a very high opinion of your company because of her!"
Great customer service,Melanie explained the differences in plans and helped me make the best choice for my needs. Thank you!
Sylvia did a great job answering my…,Sylvia did a great job answering my questions
Nicole was so wonderful,"Nicole was so wonderful. She was very very helpful and able to guide us to the best policy for our trip. I think she could’ve charged us more and yet she reviewed each policy and helped us pinpoint what we did need and what we did not need. We are grateful for her kindness, and knowledge of the different policies."
Fantastic Service,George did a fantastic job of explaining the policy and coverages. He was polite and courteous.
Excellent Associate,"We worked with Andrea, who was most helpful. She fully understood our concerns and questions. She was friendly and helped us make a good decision regarding our travel medical insurance. We appreciated her knowlege and kind assistance."
User-Friendly Website,Website was user-friendly with detailed information about competitive plans that were available. Specific details of each plan was provided via email in a PDF document. Will be using this site again for all my travel.
Amanda was very professional in…,"Amanda was very professional in handling my insurance request; very courteous and listened and had immediate answers to my questions and concerns. Highly recommend her to others. Thank you . Also, call was answered immediately"
Best price I could find,Best price I could find. Better than what my travel agent could find.
simplicity of web site and comparison…,simplicity of web site and comparison made it a no brainer
Service could not have been better.,"My first contact was Ana and she was very professional and helpful. She thoroughly explained my options to me and addressed all of the questions that I had at the time. She made some very good recomendations.
I called on July 4th but the office was closed. I wasn't thinking. I received a return call today from someone saying that they saw that I called yesterday and was wondering if they could help. I thought that was excellent service. But I had already called and worked with Denise to get all of my additional questions answered and to finalize the booking/payment.
We were also pleased with all of the options and the policies. We will definitely use this service again. Thank you."
Fantastic service - very pleasant and easy.,I did not have all the information at hand and she was extremely patient. And it didn’t take long at all. Wonderful!
Great customer service.,"Great customer service.
Super helpful and attentive to people needs.
Thank you very much!!"
Roy Answered all my questions in…,Roy Answered all my questions in professional matter
Always a great experience,Always a great experience. We use AARDY many times a year for our travel insurance. They are a keeper.
Everything was laid out in an organized…,Everything was laid out in an organized and understandable manner.
I trust AARDY for my travel insurance needs,"Terri and George were so good at making sure I understood the plan I was considering to purchase. Due to their diligence, I feel confident that my plan will have my back and help me travel worry free."
The travel insurance website was simple…,"The travel insurance website was simple and easy to understand and most of all very reasonable compared to the cruise ship offer.
Thanks,Marvin"
Good Call Good Call,"I had not used or known of AARDY prior to this, my agent, Sylvia was very helpful, took time to explain clearly and made all of it work."
Roy F review,"Roy F. was clear, knowledgeable, professional, and respectful. He actively listened, responded thoroughly to my questions, and provided sufficient information to help me purchase a policy that met my needs and that I felt comfortable with."
easy to use and reasonable price for…,easy to use and reasonable price for our trip with VBT.com
Roy was very helpful in providing my…,Roy was very helpful in providing my wife with the best medical coverage for our europe trip. He is a asset to your company!
Ok to date but will follow up when full…,Ok to date but will follow up when full policy is in hand for review and if there is a need to file a claim or claims.
Very helpful,All of my questions were answered.
Ecuador trip,"Working with Don and Kayla was a real pleasure. They were very responsive, knowledgeable and timely. They are the reason I chose your company."
great and helpful,
Have used AARDY many times,Have used AARDY many times. Have not found anyone to beat your price and your people than answer the phone are great every time. This time was Christianna
Felicia was very friendly and helpful,Felicia was very friendly and helpful. I didn’t even get a quote from any other company after speaking with her. Just purchased the policies.
Agent was very helpful,
Excellent customer service,"I had reviewed Aardy travel insurance information on line but still had a few questions. Nicole was very helpful and knowledgeable. She answered all my questions and offered more information that was also quite helpful. She was pleasant and did not rush through our conversation which I appreciated. What an asset, she really understands customer service which is rather rare these days. Thank you for your help and keep up the good work!"
Excellent Service,"The website was helpful, I received a quote within 24 hours and my online chat with Kayla was helpful. I had some additional questions so she connected me with Amanda. Throughout this entire process, I was kept informed of who I was talking to and next steps. I always appreciate talking to someone real time and Amanda's people skills and ability to address any question was great. After thinking about things for a few hours I called Amanda back to sign up for the insurance. And, within minutes, received my confirmation and required documents. The overall service made me feel confident about my decision to go with AARDY and I knew that any issue that may come up on my trip will be taken care of. Thanks."
Good explanation,"Good explanation, to the point"
Janet and George were very helpful,Janet and George were very helpful - great knowledge - offered a variety of plans - very patient in explaining the different coverages and costs - the advantages and disadvantages of the plans. They were very easy to converse with
I was given all of the information I needed,I was given all of the information I needed in a way I could easily understand. The representative was friendly and extremely helpful. Now I can enjoy my trip
Knowledgeable and Wonderful customer service,"Kayla, the chat rep and George, who called me were very informative. They answered all my questions, we compared policies while on the phone, which narrowed down my options to 2 rather than 102!! This is our first trip overseas and our first time purchasing trip insurance. Thank you for all your assistance!"
Was very easy to use and helpful in…,Was very easy to use and helpful in recommending a good policy. More thorough than other sites I looked at.
Christiana very helpful,
Ease. Clarity.,Ease. Clarity.
Outstanding Customer Service,"Your representative Don is excellent. He explained everything very clearly and even walked me through how to get my policy documents. Thank you for your excellent customer service and very easy internet site.
Sally"
Denise was really helpful and made the…,"Denise was really helpful and made the process very easy, answered my questions clearly and clearly understandable. Really helped me get the policy that best matched my needs. Thank you Denise"
Great Rep / Joe Rocks,"Great Rep / Joe Rocks
Great Knowledge
Very Helpful"
Excellent explanation and service,"Good explanation, easily understood, very helpful.
George was excellent!"
George was very helpful,"George was very helpful.
Thank you for the great service."
The person I spoke with listened to my needs,The person I spoke with listened to my needs and then provided a solution that would fit. She was able to answer all of my questions.
Extremely helpful and patient staff.,Extremely helpful and patient representative. All my questions were answered thoroughly.
I booked online,I booked online. Their reply said I could download policy online after two hours. It didn’t work. The following day I called to have the policy available. The representative sent me the details
excellent service by Melanie,excellent service by Melanie. Pleaseantly explained my policy details as well as options and guidance for the documents in the email.
So easy,So easy. I was able to compare companies to find the best fit.
Unfortunately due to my age I need…,Unfortunately due to my age I need travel insurance for international travel and had to go with a company that insures we older folks. It was easy to find the right policy. Just wish the cost was comparable to folks under the age of 70.
George and Christiana were super…,"George and Christiana were super helpful. Made it quick and easy, informed me well. Really pleasant people and a nice experience to purchase coverage."
My Cruise Insurance,"Website easy to use, Chat folks friendly and knowledgeable, and when I called, great response.
Policy and paperwork emailed quickly.
A+ COMPANY AND GREAT PRICES 🙂"
The quotes were easy to understand and…,The quotes were easy to understand and geared toward the AARP members.
Helpful and knowledgeable!,Don was helpful and knowledgeable. Thank you for your wonderful agents. I always have a good experience with your company.
Maranda was my agent,"Maranda was my agent. She was so sweet and kind, and a pleasure to work with. My transaction went smoothly and in less time than I expected. She is a true professional and an asset to your company. I would recommend her to my friends and family."
Miranda was outstanding,Miranda was outstanding. She provided honest recommendations and service which I really appreciated. She’s the best and should be commended for her outstanding service.
Very knowledgeable agent,Very knowledgeable agent. Patient with all my questions and explained thoroughly. Will ask for him when I call for future insurance needs!!
My agent,"My agent, Joe was super helpful and knowledgeable about the different insurance plans! He helped me to pick the right one for my trip!"
The representative was very knowledgeable,The representative was very knowledgeable and helpful in my making a selection on a travel policy.
Roy was precise with explanation.,"Roy was precise with information about the policy, answered all my questions. Remembered me when I called back. Easy transaction.
Hopefully if I need to use the policy it will be as easy."
They did a great job in helping me find…,They did a great job in helping me find the best plan. I called back on two separate times to book. Dan and Janet were awesome
Helpful advice comparing different…,Helpful advice comparing different options
Janet S,Janet S. was truly amazing. Her patience and guidance was so helpful. Thanks Janet
Travel Insurance purchase,This rep was informed and very precise with her explanations. She made us feel comfortable with our insurance purchase.
Easy to navigate,"Easy to navigate. Info is clear and concise, to the point. Good price. Great coverage, hopefully, won't have to use it."
Good concise information…thank you,
JANET THE SUPERSTAR!,I spoke with JANET a few days ago with multiple questions that needed answered. She was an absolute SUPERSTAR! Helped ease all the crazies that I've been dealing with on a policy search and gave me time to discuss options with my wife before purchasing a product that was right for our first out of the USA trip. It was a real pleasure working with her. (THX JANET!)
Quick and Easy,"Quick and Easy! Luckily, we have never had to use our trip insurance. This was affordable with great coverage."
Andrea M was very helpful!,
Website is very informative and easy to…,Website is very informative and easy to manipulate.
The agents @ AARDY were very courteous…,The agents @ AARDY were very courteous & helpful from the get go! There’re so many policies options from excellent insurers and the agents navigated me through the whole process with ease and without any pressure!!
Amanda was helpful,"Amanda was helpful, informative, and personable."
Christian was lovely and professional,Christian was lovely and professional. She was confident anf knowledgeable.
AARD makes purchasing easy,"AARD makes purchasing a travel policy easy
The web site is easy to navigate
And when I had a question the person on the phone answered my questions
Thanks
Phillip"
Easy,Easy! Easy to ready and understand.
Great price for CRUISE Travel..,"Great price for CRUISE Travel..
Have to read a lil' more about coverage"
Easy to read policies that made my…,Easy to read policies that made my selection easier. I have also used you in the past
Super fast quotes along with…,Super fast quotes along with knowledgeable representatives. Second time using AARDY have not found better prices and options.
Great Service,I appreciated the short time it took top contact AARD. Nichole was very helpful in getting me in conact with Christiana who patiently spent 40 minutes explaining to me about travel insurance. I was very pleased with the service.
the rep,the rep. was very knowledge and helpful in helping me select the best Insurance for my trip.
Knowledgeable and Informative,Janet was great. She was very knowledgeable about the insurance plans and did an excellent job of conveying that information to me.
Great Customer Service,"Sylvia was very calm and knowledgeable...willing to patiently listen to my questions and provide good answers. Once I decided on a policy, she went through all the documents from the insurer in detail. Made the experience a very good one."
Sylvia and Felecia were incredibly…,Sylvia and Felecia were incredibly helpful.
Patient and Kind…,Sylvia was very patient and kind whenever I asked her to repeat information and helping me understand the differences and comparisons of different policies.
Christianna was knowledgeable and very…,Christianna was knowledgeable and very personable without being patronizing.
Denise made our purchase quick and easy.,
5 Star Service…,"From start to finish I was very impressed and pleased with my Aardy agent.
Amanda was not only friendly, polite and professional, she was thoroughly knowledgeable. She was also very patient as I had several questions and concerns. Amanda addressed every one and helped me choose the right policy.

Paul"
Christinanna was very helpful,"Christinanna was very helpful, her explanations were very understandable. Answered all my questions, I did not feel rushed. Great customer service."
Our assistance and service was…,Our assistance and service was exceptional!!
Talking to Joe to discuss policies,"Talking to Joe to discuss policies, swiftness of getting the correct one for me and sending it all out to me.
Your website is also great. Thank you for being there AARDY."
Very friendly and helpful service!,
Very easy to get insurance,
"simplified ,fast","simplified ,fast, credit rating A+. associated with AARP
Pricing good."
"Excellent, friendly service","Denise, my agent, was very knowledgeable and helpful. Made the purchase very easy😀"
Traveling with security,"I spent time yesterday looking thru various travel plans and was frustrated in that I was unable to speak directly with a representative; until I phoned your website and was introduced to Sarah.
She did a fine job answering questions and gearing us in a positive direction to select travel insurance."
Sylvia was great!,Sylvia explained everything that I needed. I felt like all my questions were important.
George was wonderful,George was wonderful. He knows the products well and answered all of our questions clearly. He is professional and a valuable employee.
Sylvia was great,Sylvia was helpful to completely answer all my questions and prepare a quote that worked well for our unique needs.
Excellent customer service,Melonie was very good at explaining the details of our coverage. She was patient and listened to and answered all my questions. She was clear and concise when answering the questions so that I had a full understanding of what I was buying. I will sleep easier knowing our bucket list vacation is protected.
The agent was great,"The agent was great. He serviced all my needs and helped me with all I needed to know and do. He was fast, efficient and very helpful..I would give him 5 stars all the way."
Very concise,"Very concise, easy to follow, and gave me the best choice for what I needed."
Christianna J,"Christianna J. was very helpful, clear and concise in explaining various coverages in our travel insurance purchase!! Her recommendations how to use the instructions provided in ensuing emails was also very helpful in planning for our trip!"
Detailed explanations that are easy to follow.,Maranda made this a great experience. She answered all my questions clearly and concisely. All the information was followed up promptly with an email that offered links to all my options. She did such a great job that I gave her name and number out to the rest of the people traveling with us.
Very helpful,Wasn't sure how it worked..provided insight and suggestions
Very helpful and answered all questions.,
AARDY Travel Insurance - Nicole (Agent) Outstanding Customer Service,"Nicole (Agent) is a perfect role model for providing outstanding customer service. She was very informative, helpful, friendly and patient. She was knowledgeable and able to answer all of my questions and concerns. She understood my travel needs and guided me to the best travel plan. Nicole made my customer experience very comfortable & pleasurable. I called back with another question and was very fortunate to get Nicole again. I was so happy! This is the 2nd time that I have used AARDY to purchase Travel Insurance. I highly recommend AARDY for Travel Insurance."
I had some difficulty printing out the…,"I had some difficulty printing out the letter, card and first two pages of the policy and Roy walked me through it. Thanks!"
It was super easy and quick!,
Maranda provided fantastic service,Maranda provided fantastic service. She took her time to answer my questions.
Great experience,"The representative, Dan, was able to help me understand the ins and outs of the insurance. He explained everything so I could understand it."
very easy to navigate,very easy to navigate. good outlines with price compare. love the rating system.
Melanie,"Melanie. my insurance agent was fast, professional, and she wrapped things up pretty quickly.

Good customer service and she was also through.

Thank you!"
I am an older person and you made it…,I am an older person and you made it very easy to get the insurance plus you were very nice Thank you
Nicole was great,"Nicole was great, friendly, knowledgeable and patient!

As I am writing this now, I would like to add that in 2022 I also purchased a policy through Aardy, and was very happy with the service at that time as well. Thank you!"
Great initial contact from Stacie and Denise follow-up,"Great initial contact from Stacie with info. requested re different policy coverages relative to FL. and helpful info re our particular situation and coverge needs.

Then today Denise took my call when I had just one main question to get clarification before deciding to accept the quote we went with. She was very aware of the actual policy provisions and their interrelationship with other qualifying policy provisions."
The purchase was easy and without…,"The purchase was easy and without stress. Hopefully, I will not need to utilize the coverage, as I know that is when customer service is the most important."
